Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",Latitude,Longitude,Provider_Name_1,Provider_Name_2,Provider_Name_3,Provider_Name_4,Provider_Name_5,Provider_Name_6,Provider_Name_7,Provider_Name_8,Provider_Name_9,Provider_Name_10
4.0,1.0,1.0,0.0,1.0,0.0,1.0,12084.0,4,99.1,55.1,90.6,87.6,88.8,86.9,88.1,14.1,13.8,0.0,98.7,2.6,99.6,149.0,206.0,72.33,76.3,69.96,82.35,1.0,2.0,83.0,2.41,3.77,2.52,5.53,1.0,20.0,114.0,17.54,14.52,9.86,21.11,1.0,1.04,687.0,33.7573956,-88.1096499,-0.010003442,0.015356427,-0.023085695,0.033920668,0.04875521,0.028003609,0.04770437,-0.03572729,-0.009030094,-0.033307634
6.0,1.0,1.0,1.0,1.0,1.0,1.0,11952.0,3.5,99.4,79.4,85.9,81.4,87.2,89.1,76.5,16.9,7.7,0.2,99.5,0.2,99.8,586.0,749.0,78.24,84.46,81.36,87.4,2.0,10.0,327.0,3.06,3.51,2.5,4.83,1.0,34.0,363.0,9.37,9.75,7.35,12.69,1.0,0.94,1037.0,33.2029132,-87.5296557,-0.038825512,-0.042794637,-0.043094136,0.0010995626,0.038537614,-0.023940703,0.022543078,0.0064620674,0.029728293,0.028187776
4.0,1.0,1.0,1.0,1.0,1.0,1.0,11749.0,4.5,100.0,96.3,93.4,90.5,92.1,96.5,89.7,18.4,18.2,0.0,99.1,0.3,99.5,163.0,224.0,72.77,83.18,76.26,89.01,1.0,3.0,109.0,2.75,3.64,2.43,5.15,1.0,18.0,146.0,12.33,9.53,6.66,13.24,1.0,1.0,480.0,32.4267362,-87.0532198,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
4.0,1.0,1.0,1.0,1.0,1.0,1.0,11735.0,4.5,100.0,57.1,89.6,91.8,87.9,89.8,85.0,13.5,13.5,0.0,91.0,0.5,100.0,335.0,407.0,82.31,91.38,86.83,95.2,2.0,5.0,220.0,2.27,3.4,2.51,4.9,1.0,25.0,239.0,10.46,9.93,7.4,13.59,1.0,1.07,724.0,33.1655045,-86.2539833,-0.0030576915,0.045667194,-0.038582485,-0.04364509,0.010340691,0.03815622,-0.032194037,-0.014042273,0.009196907,0.014984447
4.0,1.0,1.0,1.0,1.0,1.0,1.0,11700.0,4,98.6,63.2,94.5,87.4,87.8,97.5,84.3,11.7,14.4,0.7,95.7,0.6,100.0,208.0,253.0,82.21,83.49,78.03,87.33,2.0,2.0,56.0,3.57,3.8,2.7,5.41,1.0,9.0,115.0,7.83,10.05,6.55,15.26,1.0,0.84,533.0,31.9936593,-87.2795128,0.047084916,0.0023267865,0.038574107,0.010842341,0.017212909,-0.0020563514,-0.0033000826,-0.0028336346,-0.044345938,0.0078057526
4.0,1.0,1.0,1.0,1.0,1.0,1.0,11722.0,5,100.0,72.6,95.4,94.5,89.9,94.6,94.4,12.2,10.8,0.6,99.6,2.4,100.0,257.0,321.0,80.06,87.3,82.52,92.03,2.0,5.0,140.0,3.57,3.78,2.58,5.22,1.0,21.0,195.0,10.77,10.02,7.03,13.88,1.0,0.95,744.0,33.6843645,-87.8292245,-0.015385831,-0.0017551124,-0.03762811,-0.010660792,-0.022366801,0.04293964,0.01827336,0.013342833,-0.046328433,0.045003932
6.0,1.0,1.0,1.0,0.0,1.0,1.0,11546.0,3,98.1,62.3,82.4,86.1,87.6,81.5,81.5,14.9,7.0,0.2,99.1,0.9,100.0,450.0,545.0,82.57,88.51,85.04,91.53,2.0,10.0,288.0,3.47,3.75,2.7,5.09,1.0,14.0,278.0,5.04,6.0,4.1,8.47,2.0,1.0,778.0,34.1987374,-86.8070878,0.029004693,-0.009377223,-0.042270582,-0.013314968,-0.02140586,-0.03539338,-0.03737141,0.04627158,-0.039876826,-0.038194157
4.0,1.0,1.0,0.0,1.0,0.0,1.0,11526.0,4,99.1,63.0,86.3,91.7,86.5,81.4,91.0,9.0,12.2,0.7,97.2,1.4,98.1,90.0,133.0,67.67,73.05,64.58,79.85,1.0,2.0,45.0,4.44,3.95,2.69,5.76,1.0,8.0,70.0,11.43,10.17,6.46,15.41,1.0,0.98,573.0,33.2617871,-88.0950263,-0.010003442,0.015356427,-0.023085695,0.033920668,0.04875521,0.028003609,0.04770437,-0.03572729,-0.009030094,-0.033307634
4.0,1.0,1.0,1.0,1.0,1.0,1.0,11497.0,5,100.0,81.2,100.0,94.5,95.7,92.3,93.5,13.3,15.6,0.0,98.7,1.1,100.0,152.0,190.0,80.0,84.66,78.61,89.77,2.0,1.0,99.0,1.01,3.55,2.39,5.15,1.0,13.0,105.0,12.38,10.72,7.32,15.52,1.0,0.88,439.0,34.4379012,-85.7568364,0.043432314,0.00096789596,-0.040341083,0.047546763,0.015008825,-0.043496676,-0.014922639,0.024390053,-0.012032846,0.0302306
4.0,1.0,1.0,1.0,0.0,1.0,1.0,11483.0,4.5,100.0,53.6,93.2,90.8,97.1,91.5,90.0,15.2,8.3,0.0,98.9,1.1,100.0,292.0,370.0,78.92,84.47,80.59,88.66,2.0,3.0,153.0,1.96,3.47,2.45,4.88,1.0,25.0,175.0,14.29,12.98,9.53,17.48,1.0,0.98,784.0,34.161974,-85.6647186,0.03018104,0.019924397,-0.019169774,-0.02322581,0.047795005,-0.014133409,0.006020111,0.032062024,0.029386401,-0.021087795
