Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
1,1,1,0,1,1,3.0,98.1,62.3,82.4,86.1,87.6,81.5,81.5,14.9,7.0,0.2,99.1,0.9,100.0,450.0,545.0,82.57,88.51,85.04,91.53,10.0,288.0,3.47,3.75,2.7,5.09,14.0,278.0,5.04,6.0,4.1,8.47,1.0,778.0
1,1,0,1,0,1,4.0,99.1,63.0,86.3,91.7,86.5,81.4,91.0,9.0,12.2,0.7,97.2,1.4,98.1,90.0,133.0,67.67,73.05,64.58,79.85,2.0,45.0,4.44,3.95,2.69,5.76,8.0,70.0,11.43,10.17,6.46,15.41,0.98,573.0
1,1,1,1,1,1,5.0,100.0,81.2,100.0,94.5,95.7,92.3,93.5,13.3,15.6,0.0,98.7,1.1,100.0,152.0,190.0,80.0,84.66,78.61,89.77,1.0,99.0,1.01,3.55,2.39,5.15,13.0,105.0,12.38,10.72,7.32,15.52,0.88,439.0
1,1,1,0,1,1,4.5,100.0,53.6,93.2,90.8,97.1,91.5,90.0,15.2,8.3,0.0,98.9,1.1,100.0,292.0,370.0,78.92,84.47,80.59,88.66,3.0,153.0,1.96,3.47,2.45,4.88,25.0,175.0,14.29,12.98,9.53,17.48,0.98,784.0
1,1,1,1,1,0,4.0,99.3,60.1,89.2,93.8,86.9,89.0,85.4,11.8,14.0,0.0,99.1,0.9,99.9,525.0,652.0,80.52,87.89,84.24,91.0,12.0,332.0,3.61,3.91,2.87,5.14,34.0,327.0,10.4,9.41,7.02,12.19,0.97,1181.0
1,1,1,1,1,1,4.0,99.9,49.2,89.8,89.5,88.4,87.5,85.5,13.2,17.0,0.1,99.6,0.0,100.0,291.0,368.0,79.08,83.34,78.64,87.32,1.0,92.0,1.09,3.54,2.25,5.09,15.0,170.0,8.82,9.79,6.48,13.99,0.91,680.0
1,1,1,0,1,1,3.5,99.7,49.3,88.2,87.7,89.1,89.6,84.8,16.5,19.0,0.7,98.7,2.2,100.0,174.0,221.0,78.73,83.38,77.68,88.57,5.0,95.0,5.26,4.13,2.75,6.06,19.0,122.0,15.57,13.85,9.24,19.82,0.93,446.0
1,1,1,1,1,1,4.5,100.0,78.2,89.8,89.9,93.2,83.5,88.8,12.1,18.5,0.9,97.5,0.0,100.0,148.0,177.0,83.62,89.4,82.31,94.06,6.0,85.0,7.06,4.31,3.04,6.07,8.0,68.0,11.76,10.56,6.66,16.25,0.88,427.0
1,1,1,1,0,1,2.5,98.9,60.8,76.2,84.6,77.1,69.0,75.5,14.3,14.5,0.0,98.1,1.3,100.0,147.0,238.0,61.76,68.57,61.64,74.46,3.0,104.0,2.88,3.77,2.55,5.52,9.0,98.0,9.18,8.77,5.66,12.94,0.93,455.0
1,1,1,1,1,1,4.0,99.7,67.9,85.6,87.8,88.9,91.0,85.8,14.3,9.4,0.1,98.5,1.5,98.8,333.0,422.0,78.91,84.76,80.67,88.4,6.0,191.0,3.14,3.64,2.62,4.97,28.0,201.0,13.93,12.59,9.11,16.61,0.99,850.0
